,Title,Abstract Note
0,The shallow water equations and their application to realistic cases,"The numerical modelling of 2D shallow flows in complex geometries involving transient flow and movable boundaries has been a challenge for researchers in recent years. There is a wide range of physical situations of environmental interest, such as flow in open channels and rivers, tsunami and flood modelling, that can be mathematically represented by first-order non-linear systems of partial differential equations, whose derivation involves an assumption of the shallow water type. Shallow water models may include more sophisticated terms when applied to cases of not pure water floods, such as mud/debris floods, produced by landslides. Mud/debris floods are unsteady flow phenomena in which the flow changes rapidly, and the properties of the moving fluid mixture include stop and go mechanisms. The present work reports on a numerical model able to solve the 2D shallow water equations even including bed load transport over erodible bed in realistic situations involving transient flow and movable flow boundaries. The novelty is that it offers accurate and stable results in realistic problems since an appropriate discretization of the governing equations is performed. Furthermore, the present work is focused on the importance of the computational cost. Usually, the main drawback is the high computational effort required for obtaining accurate numerical solutions due to the high number of cells involved in realistic cases. However, the proposed model is able to reduce computer times by orders of magnitude making 2D applications competitive and practical for operational flood prediction. Moreover our results show that high performance code development can take advantage of general purpose and inexpensive Graphical Processing Units, allowing to run almost 100 times faster than old generation codes in some cases."
3,Shallow Water Flow Simulation: From Mathematics to Reality,"Nowadays, the great power of modern computers combined with well-designed numerical models allows to develop computational models able to deal with simulations of several coupled phenomena over detailed complex topography. An efficient and properly calibrated computational model represents a useful tool to provide insight into the catchment dynamics at hydrological and geomorphological levels. In addition, it allows to develop detailed risk management and conservation plans. The challenge of finding a compromise between computational time and level of accuracy and robustness has traditionally expanded the use of simplified models (2D) rather than full three-dimensional models for flood simulation. This work presents a GPU accelerated 2D shallow-water model for the simulation of flood events over non-erodible and erodible bed in real time. In particular, an explicit first-order finite volume scheme is detailed to control the numerical instabilities that are likely to appear when used in complex topography. The model is applied to reproduce real events in a reach of the Ebro River (Spain) and the Cinca River (Spain) in order to compare the simulation results with the field data in a large domain and long flood duration allowing an analysis of the performance and speed-up achieved by different GPU devices. The high values of fit between observed and simulated results as well as the computational times achieved are encouraging to propose the use of the model as forecasting system. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
4,High performance computing in river modelling: A novel two-dimensional software for river hydro- And morphodynamic simulations,"The numerical modelling of river physical dynamics is of great importance for both process understanding in environmental science and decision support in engineering practice. The continuous gain in computational power and the development of novel numerical algorithms, facilitated the wide application of shallow water models for river flow simulation. Despite the technological and numerical advances, the computational effort required by two-dimensional shallow water river models can still range from days to weeks for, e.g., large-scale simulations or when morphodynamic studies are included. In this context, we developed and implemented the new version 3 of the freeware BASEMENT, a two-dimensional numerical simulation tool, adopting a flexible software framework for different target platforms such as multi-core CPUs or graphics processing units (GPUs). This allows for simulation speedup of a multiple of ten, depending on the problem at hand and the final target platform. Besides the hydrodynamic module, the new software includes a module for morphodynamics accounting for lateral bed slope and curvature effects. We demonstrate the outstanding performance of the software, its robustness and accuracy by hydro- and morphodynamic test cases. The results confirm that BASEMENT could be a useful tool to efficiently simulate complex and long-term river processes on large domains. © 2020 Taylor & Francis Group, London"
5,Numerical Modelling of Braided River Morphodynamics: Review and Future Challenges,"Numerical morphological modelling of braided rivers is increasingly used to explore controls on river pattern and for applied environmental management. This article reviews and presents a taxonomy of braided river morphodynamic models and discusses the challenges facing model development and use, illustrating these challenges with a case example. The taxonomy is contextualised by an initial discussion of the physical mechanisms of braiding. The taxonomy differentiates between reach-scale and catchment-scale models. Reach-scale models are usually physics-based, which are further divided based upon the mathematical approach used to solve equations (analytical or numerical) and their dimensionality (1D, 2D or 3D). Cellular automata models are one type of numerical model that replace at least some physical processes with expedient rules. A 2D physics-based approach encapsulates sufficient process complexity to provide behavioural predictions. Predictions from catchment-scale landscape evolution models have potential for providing boundary conditions. Future progress in physics-based modelling needs to address three challenges: (i) representation of flow and sediment transport; (ii) temporal and spatial scaling; and (iii) model calibration, sensitivity, uncertainty and validation. The key problem for addressing these is the dearth of laboratory or natural experiment datasets. To show that progress can be made by comparing reach-scale predictions to high-resolution observations, a case study of monitoring and modelling, conducted in the Rees River, New Zealand, is presented. Hydraulic predictions of cellular automata and shallow water equation (Delft3d) models are compared to observed inundation extent. The efficacy of high-resolution, multi-temporal morphological data for assessing 2D physics-based morphodynamic model predictions is also demonstrated. © 2016 The Author(s) Geography Compass © 2016 John Wiley & Sons Ltd"
6,Two-dimensional scour simulations based on coupled model of shallow water equations and sediment transport on unstructured meshes,"A two-dimensional scour model based on coupled system of shallow water equations (SWEs) and sediment transport on unstructured mesh is developed. The coupled system of hydrodynamic and morphodynamic equations is solved by finite volume method using Godunov scheme. Roe's approximate Riemann solver is used to calculate the inviscid fluxes. The use of unstructured mesh makes the model applicable to complex domains. However, it is difficult to evaluate the eigenvalues and eigenvectors of the Jacobian matrix in the global coordinate. The method proposed herein to deal with this difficulty is to transform the system into the local coordinate with one of the axes in the same direction as the interface outward normal vector. In the local coordinate system, the Jacobian matrix is simplified and the eigenvalues are analyzed using asymptotic method. Regular expansion breaks down when the flow is near critical. Uniformity of the expansion is achieved by changing the scales. Rotational invariance theorem is used to relate the interfacial fluxes in the global and local coordinate systems. Special treatment of the source term on unstructured grid makes the scheme stable and physically balanced (both mass and momentum). The method proposed in this paper for the eigen-system is very efficient comparing to iterative numerical methods. Results from the test cases show good agreement with the experiments. © 2008 Elsevier B.V. All rights reserved."
12,Development and application of two-dimensional numerical model on shallow water flows using finite volume method,"This present study develops a 2-D numerical scheme to simulate the velocity and depth on the actual terrain by using shallow water equations. The computational approach uses the HLL scheme as a basic building block, treats the bottom slope by lateralizing the momentum flux, then refines the scheme using the Strang splitting to deal with the frictional source term. Besides, a decoupled algorithm is also adopted to compute the aggradation and degradation of bed-level elevation by using the Manning-Strickler formula and Exner’s relationship. The main purpose is to set up the window interface of 2-D numerical model and increase the realization of engineers on these characteristics of hydraulic treatment and maintenance."
19,Semicoupled and fully coupled numerical models for morphodynamic flow simulation in river with irregular planforms,This paper introduces one dimensional (1D) as well as two dimensional (2D) numerical models to simulate the morphodynamic processes in open channel flows. The models use the shallow water equations for hydrodynamics and the Exner sediment continuity equation for bed morphology. The governing equations are solved here using the finite difference method (FDM) based Lax-Wendroff scheme. The 1D model uses the fully coupled approach. The 2D model however solves the boundary fitted governing equations of water flow and sediment transport coupled using the semicoupled approach. The numerical oscillations produced due to second order accuracy of the proposed models are removed here by adopting an efficient Total Variation Diminishing (TVD) technique. The influence of helical flow intensity and lateral bed slope are integrated in the sediment transport model for correctly simulating the morphodynamics in channel bends. The practical applicability of the developed models is evaluated by replicating five benchmark test cases of known analytical and experimental results and promising outcomes are obtained. Three widely used statistical parameters are also calculated to check the robustness of the proposed models.
21,A 2D numerical model for simulating landslide dam failure and induced morphological changes considering multi-layer and non-uniform sediments,"Landslide dams are formed by the blockage of rivers with landslides or any debris flows. Such dams are prone to failure and therefore, simu lation of their failure and induced morphological changes is of great importance for hazard mitigation. Multi-layer and non-uniform sediments are usually observed in landslide dam materials, but these are rarely considered in simulations. In this paper, a two-dimensional numerical model considering multi-layered and non-uniform sediments is proposed. The model solves the shallow water equations, the Exner equation considering the different size fractions and Hirano’s active layer equation based on a finite volume scheme in a weakly coupled approach. Twoexperimental tests are used to assess the applicability and accuracy of the model. The results show that it can well simulate the flowand morphological changes, as well as the surface coarsening and fining phenomena related to multi-layer and non-uniform sediments. The numerical results of dam failure process and morphological changes are in overall good agreement with the experiments, but the peak discharge and bed elevation tend to be underestimated when finer material is considered. Finally, the influence of sediments fractions an active layer depth on numerical results, as well as the limitations of the model are discussed."
22,A new 2D ESPH bedload sediment transport model for rapidly varied flows over mobile beds,"A 2D Eulerian meshless bedload sediment transport model is developed using smoothed particle hydrodynamics (SPH) to simulate rapidly varied flows over mobile beds. In the developed model, we adopt a weakly coupled numerical approach to explicitly solve the governing equations, including 2D shallow water equations for fluid flow motion and the Exner equation for bed sediment movement at the same time step. A defined virtual bedload velocity in a weakly coupled approach is involved in the calculation of time step sizes. However, nonphysical virtual bedload velocities, which often occur in cases with nearly flat beds, require extremely small time step sizes. A formulation of the lower and upper bounds of information propagation speeds for an HLLC approximate Riemann solver is thus proposed to remedy the problem. Four case studies involving dam break flows in prismatic and erodible channels, knickpoint migration, dam erosion due to overtopping flow and dam-break flow in an erodible channel with an abrupt expansion are adopted to validate the developed model. In addition, to compare the performances of different particle interaction configurations under Cartesian uniform particle arrangements, four and eight interacting particles are obtained by changing the smoothing length. Against the measured results, the case of eight interacting particles shows more accurate predictions of erosion peaks along the measured cross-sections because the lateral flows are significant. The good agreement between the simulated and measured results shows that the developed 2D Eulerian SPH bedload sediment transport model with eight interacting particles is well suited for simulating complicated flow-induced bed erosion."
23,Numerical Exploration of the Morphodynamic Regime Diagram for Straight Channel River Flows,"Self-organising phenomena play a crucial role in river systems, from the catchment scale to the single morphological unit. Many studies on morphological patterns in straight channels have been conducted, but full regime diagrams in fundamental parameters (e.g. aspect ratio and mobility parameter) are not known yet.  However, determining such morphological regimes is crucial for prediction of river dynamics and consequently for a range of applications, from flood risk assessment to ecological management and restoration projects. This study employs a 2D numerical model based on spectral methods to explore these morphodynamic regimes in a straight channel, a first approximation of most existing managed rivers. The model couples the depth-averaged shallow-water and continuity equations for the flow and the Exner mass-conservation equation for the sediment. The morphological patterns arising from the simulations are explored in a wide range of parameter space, beyond the critical values for bar formation used in perturbation methods. A thorough taxonomy of planforms and their complexity is generated, resulting in a morphodynamic regime diagram for straight channel flows. Moreover, both the spatial and temporal characterisation of the solutions is carried out, and the presence of quasi-periodic and chaotic behaviour is investigated."
