"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XIPPN8PC","journalArticle","2019","García-Navarro, Pilar; Murillo, J; Fernández-Pato, J; Echeverribar, Isabel; Morales-Hernández, Mario","The shallow water equations and their application to realistic cases","Environmental Fluid Mechanics","","","","","The numerical modelling of 2D shallow flows in complex geometries involving transient flow and movable boundaries has been a challenge for researchers in recent years. There is a wide range of physical situations of environmental interest, such as flow in open channels and rivers, tsunami and flood modelling, that can be mathematically represented by first-order non-linear systems of partial differential equations, whose derivation involves an assumption of the shallow water type. Shallow water models may include more sophisticated terms when applied to cases of not pure water floods, such as mud/debris floods, produced by landslides. Mud/debris floods are unsteady flow phenomena in which the flow changes rapidly, and the properties of the moving fluid mixture include stop and go mechanisms. The present work reports on a numerical model able to solve the 2D shallow water equations even including bed load transport over erodible bed in realistic situations involving transient flow and movable flow boundaries. The novelty is that it offers accurate and stable results in realistic problems since an appropriate discretization of the governing equations is performed. Furthermore, the present work is focused on the importance of the computational cost. Usually, the main drawback is the high computational effort required for obtaining accurate numerical solutions due to the high number of cells involved in realistic cases. However, the proposed model is able to reduce computer times by orders of magnitude making 2D applications competitive and practical for operational flood prediction. Moreover our results show that high performance code development can take advantage of general purpose and inexpensive Graphical Processing Units, allowing to run almost 100 times faster than old generation codes in some cases.","2019","2024-11-15 19:42:33","2024-11-21 21:57:11","","1235–1252","","","19","","","","","","","","","","","","","","","","","Publisher: Springer","","","","2D; Finite volumes; GPU; HPC; Numerical Method; River flows; SWE-Exner; Unsteady shallow flows; Validation Methods; Wetting/drying fronts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZS4XUSF","thesis","2015","Gunawan, Harry Putu","Numerical simulation of shallow water equations and related models","","","","","","This thesis is devoted to the numerical approximation of the shallow water equations and of some related models. In the first part, we analyze the mathematical properties and the applications of the staggered grid scheme. The robustness of this scheme is validated on various applications such as the rotating shallow water equations for geostrophic flows model and viscous shallow water equations. In the second part, we consider some related models. Firstly focusing on the coupling between the Exner equation and the shallow water equations, modelling bedload sediment transport, we observe in a particular case the numerical convergence of the scheme to the exact solution, as well as a good agreement with the experimental data in the dam-break with erodible bottom test. Secondly, we present a numerical scheme based on the finite volume collocated scheme (HLLC) in order to approximate the Richard-Gavrilyuk model. This model is an extension of the shallow water model, fit for modelling the shear shallow water flows. Some numerical tests provide a validation of the scheme","2015","2024-11-15 19:42:33","2024-11-21 22:01:56","","","","","","","","","","","","","Université Paris-Est","","","","PhD Thesis","","","","","","","","","2D; Numerical Method; SWE-Exner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL5FFXRL","bookSection","2022","Martínez-Aranda, S; Fernández-Pato, J; Echeverribar, I; Navas-Montilla, A; Morales-Hernández, M; Brufau, P; Murillo, J; García-Navarro, P","Finite volume models and efficient simulation tools (EST) for shallow flows","Advances in fluid mechanics: modelling and simulations","","","","","Shallow-type mathematical models are built in the context of free surface flows over the main hypothesis that the flow layer depth is smaller than a relevant horizontal length scale. There is a wide range of physical situations in which these shallow-type formulations are applicable, such as open channels and rivers, tsunamis, floods, landslides or muddy slurries. Their numerical solution on the finite volume framework is governed by the dynamical properties of the flow, the uneven distribution of the bed level and also by the computational grid choice. The unified discretization of spatial flux derivatives and source terms has proven useful to ensure the properties of monotonicity, stability and conservation in the numerical solution. Surface shallow flows that occur in catchments and coasts usually require large space resolution over longer periods of time. The increasing complexity of the mathematical models, the advancements in numerical methods, as well as the increasing power of computation are making possible the physically-based simulation of these phenomena. The necessity of spatial resolution involves the use of a large number of elements, which increases the computational time when simulating realistic scenarios for a long time period. The resulting approach from the proper mathematical formulation, robust numerical resolution and efficient computational implementation of models (EST) can be very useful in the simulation of environmental surface processes with realistic temporal and spatial scales.","2022","2024-11-15 19:42:34","2024-11-21 21:56:50","","67–137","","","","","","","","","","","Springer","","","","","","","","","","","","","Recommendations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDSNP8GZ","journalArticle","2011","Soares-Frazao, Sandra; Zech, Yves","HLLC scheme with novel wave-speed estimators appropriate for two-dimensional shallow-water flow on erodible bed","INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS","","0271-2091","10.1002/fld.2300","","This paper presents a first-order HLLC (Harten-Lax-Van Leer with contact discontinuities) scheme to solve the Saint-Venant shallow-water equations, including morphological evolution of the bed by erosion and deposition of sediments. The Exner equation is used to model the morphological evolution of the bed, while a closure equation is needed to evaluate the rate of sediment transport. The system of Saint-Venant-Exner equations is solved in a fully coupled way using a finite-volume technique and a HLLC solver for the fluxes, with a novel wave-speed estimator adapted to the Exner equation. Wave speeds are usually derived by computing the eigenvalues of the full system, which is highly time-consuming when no analytical expression is available. In this paper, an eigenvalue analysis of the full system is conducted, leading to simple but still accurate wave-speed estimators. The new numerical scheme is then tested in three different situations: (1) a circular dam-break flow over movable bed, (2) an one-dimensional bed aggradation problem simulated on a 2D unstructured mesh and (3) the case of a dam-break flow in an erodible channel with a sudden enlargement, for which experimental measurements are available. Copyright (C) 2010 John Wiley & Sons, Ltd.","2011-07-20","2024-11-20 00:35:49","2024-11-21 21:49:40","","1019-1036","","8","66","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","dam-break flow; finite-volume; HLLC; morphological flows; shallow-water; wave-speed estimator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3JMAJIN","journalArticle","2016","Juez, C.; Ferrer-Boix, C.; Murillo, J.; Hassan, M. A.; Garcia-Navarro, P.","A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","ADVANCES IN WATER RESOURCES","","0309-1708","10.1016/j.advwatres.2015.10.013","","In order to study the morphological evolution of river beds composed of heterogeneous material, the interaction among the different grain sizes must be taken into account. In this paper, these equations are combined with the two-dimensional shallow water equations to describe the flow field. The resulting system of equations can be solved in two ways: (i) in a coupled way, solving flow and sediment equations simultaneously at a given time-step or (ii) in an uncoupled manner by first solving the flow field and using the magnitudes obtained at each time-step to update the channel morphology (bed and surface composition). The coupled strategy is preferable when dealing with strong and quick interactions between the flow field, the bed evolution and the different particle sizes present on the bed surface. A number of numerical difficulties at from solving the fully coupled system of equations. These problems are reduced by means of a weakly-coupled strategy to numerically estimate the wave celerities containing the information of the bed and the grain sizes present on the bed. Hence, a two-dimensional numerical scheme able to simulate in a self-stable way the unsteady morphological evolution of channels formed by cohesionless grain size mixtures is presented. The coupling technique is simplified without decreasing the number of waves involved in the numerical scheme but by simplifying their definitions. The numerical results are satisfactorily tested with synthetic cases and against experimental data. (C) 2015 Elsevier Ltd. All rights reserved.","2016-01","2024-11-20 00:35:49","2024-11-21 21:49:24","","1-18","","","87","","","","","","","","","","English","","","","","","","Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article","","","","2D shallow water equations; Dynamically chosen time-step; Exner equation; Fleterogeneous material; Hirano equation; Sorting celerities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVZ2NCSF","journalArticle","2024","Garcia-Navarro, P.; Martínez-Aranda, S.; Brufau, P.; Vallés, P.; Echeverribar, I.; Fernández-Pato, J.","Shallow Water Flow Simulation: From Mathematics to Reality","GeoPlanet: Earth and Planetary Sciences","","21905193","10.1007/978-3-031-56093-4_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198100517&doi=10.1007%2f978-3-031-56093-4_12&partnerID=40&md5=cdc4468f6a2cda3c0cb50500e472bc19","Nowadays, the great power of modern computers combined with well-designed numerical models allows to develop computational models able to deal with simulations of several coupled phenomena over detailed complex topography. An efficient and properly calibrated computational model represents a useful tool to provide insight into the catchment dynamics at hydrological and geomorphological levels. In addition, it allows to develop detailed risk management and conservation plans. The challenge of finding a compromise between computational time and level of accuracy and robustness has traditionally expanded the use of simplified models (2D) rather than full three-dimensional models for flood simulation. This work presents a GPU accelerated 2D shallow-water model for the simulation of flood events over non-erodible and erodible bed in real time. In particular, an explicit first-order finite volume scheme is detailed to control the numerical instabilities that are likely to appear when used in complex topography. The model is applied to reproduce real events in a reach of the Ebro River (Spain) and the Cinca River (Spain) in order to compare the simulation results with the field data in a large domain and long flood duration allowing an analysis of the performance and speed-up achieved by different GPU devices. The high values of fit between observed and simulated results as well as the computational times achieved are encouraging to propose the use of the model as forecasting system. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","2024","2024-11-21 20:41:52","2024-11-21 20:41:52","","151-166","","","Part F2923","","","","","","","","","","English","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLHRUTVZ","journalArticle","2020","Khrapov, S.S.; Khoperskov, A.V.","Application of Graphics Processing Units for Self-Consistent Modelling of Shallow Water Dynamics and Sediment Transport","Lobachevskii Journal of Mathematics","","19950802","10.1134/S1995080220080089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091965384&doi=10.1134%2fS1995080220080089&partnerID=40&md5=49a5855e8f72fd936b8e39e998809559","In this paper, we describe a numerical algorithm for the self-consistent simulations of surface water and sediment dynamics. The method is based on the original Lagrangian-Eulerian CSPH-TVD approach for solving the Saint-Venant and Exner equations, taking into account the physical factors essential for the understanding of the shallow water and surface soil layer motions, including complex terrain structure and its evolution due to sediment transport. Additional Exner equation for sediment transport has been used for the numerical CSPH-TVD scheme stability criteria definition. By using OpenMP-CUDA and GPUDirect technologies for hybrid computing systems (supercomputers) with several graphic coprocessors (GPUs) interacting with each other via the PCI-E/NVLINK interface we also develop a parallel numerical algorithm for the CSPH-TVD method. The developed parallel version of the algorithm demonstrates high efficiency for various configurations of Nvidia Tesla CPU + GPU computing systems. In particular, maximal speed up is 1800 for a system with four C2070 GPUs compare to the serial version for the CPU. The calculation time on the GPU V100 (Volta architecture) is reduced by 95 times compared to the GPU C2070 (Fermi architecture). © 2020, Pleiades Publishing, Ltd.","2020","2024-11-21 20:41:53","2024-11-21 21:57:22","","1475-1484","","8","41","","","","","","","","","","English","","","","","","","Publisher: Pleiades journals","","","","2D; CUDA; GPU; HPC; Numerical Method; OpenMP; SWE-Exner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPNJ6VGP","conferencePaper","2020","Vetsch, D.F.; Vanzo, D.; Bürgler, M.; Bacigaluppi, P.; Conde, D.; Boes, R.M.; Peter, S.J.; Vonwiller, L.; Siviglia, A.","High performance computing in river modelling: A novel two-dimensional software for river hydro- And morphodynamic simulations","River Flow 2020 - Proceedings of the 10th Conference on Fluvial Hydraulics","978-0-367-62773-7","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117409334&partnerID=40&md5=b3c03b6f2c61759c81eea67fecb81ce3","The numerical modelling of river physical dynamics is of great importance for both process understanding in environmental science and decision support in engineering practice. The continuous gain in computational power and the development of novel numerical algorithms, facilitated the wide application of shallow water models for river flow simulation. Despite the technological and numerical advances, the computational effort required by two-dimensional shallow water river models can still range from days to weeks for, e.g., large-scale simulations or when morphodynamic studies are included. In this context, we developed and implemented the new version 3 of the freeware BASEMENT, a two-dimensional numerical simulation tool, adopting a flexible software framework for different target platforms such as multi-core CPUs or graphics processing units (GPUs). This allows for simulation speedup of a multiple of ten, depending on the problem at hand and the final target platform. Besides the hydrodynamic module, the new software includes a module for morphodynamics accounting for lateral bed slope and curvature effects. We demonstrate the outstanding performance of the software, its robustness and accuracy by hydro- and morphodynamic test cases. The results confirm that BASEMENT could be a useful tool to efficiently simulate complex and long-term river processes on large domains. © 2020 Taylor & Francis Group, London","2020","2024-11-21 20:41:53","2024-11-21 20:41:53","","1401-1408","","","","","","","","","","","CRC Press/Balkema","","English","","","","","","","","","","","Buildings; Computer graphics; Computer programming; Decision support systems; Decision supports; Engineering practices; Environmental decisions; Environmental science; Graphics processing unit; Morphodynamics; Numerical models; Performance computing; Physical dynamics; Process understanding; Program processors; River model; Rivers; Simulation platform; Software testing; Two-dimensional","","Uijttewaal W., Crosato A., Franca M.J., Valero D., Chavarrias V., Arbos C.Y., Schielen R., Schielen R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYRQ3HAI","journalArticle","2016","Williams, R.D.; Brasington, J.; Hicks, D.M.","Numerical Modelling of Braided River Morphodynamics: Review and Future Challenges","Geography Compass","","17498198","10.1111/gec3.12260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987920278&doi=10.1111%2fgec3.12260&partnerID=40&md5=73d0bc3e94b02d86be387059559fca05","Numerical morphological modelling of braided rivers is increasingly used to explore controls on river pattern and for applied environmental management. This article reviews and presents a taxonomy of braided river morphodynamic models and discusses the challenges facing model development and use, illustrating these challenges with a case example. The taxonomy is contextualised by an initial discussion of the physical mechanisms of braiding. The taxonomy differentiates between reach-scale and catchment-scale models. Reach-scale models are usually physics-based, which are further divided based upon the mathematical approach used to solve equations (analytical or numerical) and their dimensionality (1D, 2D or 3D). Cellular automata models are one type of numerical model that replace at least some physical processes with expedient rules. A 2D physics-based approach encapsulates sufficient process complexity to provide behavioural predictions. Predictions from catchment-scale landscape evolution models have potential for providing boundary conditions. Future progress in physics-based modelling needs to address three challenges: (i) representation of flow and sediment transport; (ii) temporal and spatial scaling; and (iii) model calibration, sensitivity, uncertainty and validation. The key problem for addressing these is the dearth of laboratory or natural experiment datasets. To show that progress can be made by comparing reach-scale predictions to high-resolution observations, a case study of monitoring and modelling, conducted in the Rees River, New Zealand, is presented. Hydraulic predictions of cellular automata and shallow water equation (Delft3d) models are compared to observed inundation extent. The efficacy of high-resolution, multi-temporal morphological data for assessing 2D physics-based morphodynamic model predictions is also demonstrated. © 2016 The Author(s) Geography Compass © 2016 John Wiley & Sons Ltd","2016","2024-11-21 20:41:53","2024-11-21 21:49:22","","102-127","","3","10","","","","","","","","","","English","","","","","","","Publisher: Blackwell Publishing","","","","boundary condition; braided river; catchment; cellular automaton; computer simulation; fluvial geomorphology; morphodynamics; New Zealand; numerical model; Otago; Recommendations; Rees River; Review; sediment transport; shallow-water equation; South Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHLA6VBY","journalArticle","2015","Gunawan, P.H.; Lhébrard, X.","Hydrostatic relaxation scheme for the 1D shallow water - Exner equations in bedload transport","Computers and Fluids","","00457930","10.1016/j.compfluid.2015.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940030239&doi=10.1016%2fj.compfluid.2015.08.001&partnerID=40&md5=baa672e0fad9e5df7fbdf4f9a0a1ec21","This paper describes the numerical scheme of the one-dimensional Exner - shallow water equations for sediment modeling. Here, our novel numerical scheme is called hydrostatic relaxation scheme which is a robust and straightforward scheme. This scheme is given as the hydrostatic reconstruction of the relaxation solver. Some numerical tests are presented such as analytical solution, transcritical flow over a granular bump, and erodible bottom due to dam-break. The comparisons of numerical and data experiments are also given in dam-break over granular bed simulation. The results of our simulation have a good agreement with analytical solution and the data experiments. Moreover, satisfactory convergence rate in L1-norm is obtained. © 2015 Elsevier Ltd.","2015","2024-11-21 20:41:53","2024-11-21 21:49:30","","44-50","","","121","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ltd","","","","1D; Bedload sediment; Bedload sediments; Dam-break; Dam-breaks; Equations of motion; Exner equation; Hydraulics; Hydrostatic reconstruction; Relaxation solver; Shallow water equations; SWE-Exner; Validation Methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
