"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UPVH9SVA","journalArticle","2013","Benkhaldoun, Fayssal; Elmahi, Imad; Sari, Saida; Seaid, Mohammed","An unstructured finite-volume method for coupled models of suspended sediment and bed load transport in shallow-water flows","International Journal for Numerical Methods in Fluids","","10970363","10.1002/fld.3771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878927349&doi=10.1002%2ffld.3771&partnerID=40&md5=90d64355e3eed0b4bb1d1036b49018e1","The aim of this work is to develop a well-balanced finite-volume method for the accurate numerical solution of the equations governing suspended sediment and bed load transport in two-dimensional shallow-water flows. The modelling system consists of three coupled model components: (i) the shallow-water equations for the hydrodynamical model; (ii) a transport equation for the dispersion of suspended sediments; and (iii) an Exner equation for the morphodynamics. These coupled models form a hyperbolic system of conservation laws with source terms. The proposed finite-volume method consists of a predictor stage for the discretization of gradient terms and a corrector stage for the treatment of source terms. The gradient fluxes are discretized using a modified Roe's scheme using the sign of the Jacobian matrix in the coupled system. A well-balanced discretization is used for the treatment of source terms. In this paper, we also employ an adaptive procedure in the finite-volume method by monitoring the concentration of suspended sediments in the computational domain during its transport process. The method uses unstructured meshes and incorporates upwinded numerical fluxes and slope limiters to provide sharp resolution of steep sediment concentrations and bed load gradients that may form in the approximate solutions. Details are given on the implementation of the method, and numerical results are presented for two idealized test cases, which demonstrate the accuracy and robustness of the method and its applicability in predicting dam-break flows over erodible sediment beds. The method is also applied to a sediment transport problem in the Nador lagoon. © 2013 John Wiley & Sons, Ltd.","2013","2024-11-21 21:06:47","2024-11-21 21:06:47","","967 – 993","","9","72","","","","","","","","","","English","","","","","","","Type: Article","","","","Bed-load transport; Equations of motion; Finite volume method; Flow of water; Hydraulics; Jacobian matrices; Lakes; Mesh adaptation; Nador lagoon; Numerical methods; Sediment transport; Sedimentology; Shallow water equations; Suspended sediments; Unstructured grid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77P7G9WB","journalArticle","2012","Serrano-Pacheco, Alberto; Murillo, Javier; Garcia-Navarro, Pilar","Finite volumes for 2D shallow-water flow with bed-load transport on unstructured grids","Journal of Hydraulic Research","","00221686","10.1080/00221686.2012.669142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859706002&doi=10.1080%2f00221686.2012.669142&partnerID=40&md5=c5f71128ca84ee05baf2213e250b2738","In this work, two-dimensional (2D) bed-load transport simulations based on the depth-averaged shallow-water equations and the Exner equation are presented. The Exner equation is written assuming that bed-load transport is governed by a power law of the depth-averaged flow velocity and by a flow/sediment interaction parameter acting as a calibration coefficient. Uncoupled and coupled numerical resolutions of the global problem are considered. A Roe-type first-order upwind scheme has been applied as approximate Riemann solver for the discretization on 2D unstructured meshes. The uncoupled resolution is presented as a simple extension of a previous 2D shallow-water model. The details of the new implementation in the coupled system problem are provided. The models are tested comparing with exact solutions of 2D cases as well as experimental laboratory data. Copyright © 2012 International Association for Hydro-Environment Engineering and Research.","2012","2024-11-21 21:06:47","2024-11-21 21:06:47","","154 – 163","","2","50","","","","","","","","","","English","","","","","","","Type: Article","","","","Bed-load transport; bedload; calibration; data set; Equations of motion; Exner equation; finite volume method; flow velocity; Grass models; Hydraulics; numerical model; power law; sediment-water interface; Shallow-water; shallow-water equation; Technology; two-dimensional flow; Unstructured grid; water flow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VW9BZRD2","journalArticle","2014","Bilanceri, M.; Beux, F.; Elmahi, I.; Guillard, H.; Salvetti, M.V.","Implicit time advancing combined with two finite-volume methods in the simulation of morphodynamic flows","Mathematics and Computers in Simulation","","03784754","10.1016/j.matcom.2013.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894668522&doi=10.1016%2fj.matcom.2013.07.002&partnerID=40&md5=ea04578b6b7e79be99b8bc1b42055f62","Numerical simulation of morphodynamic problems is considered. The physical model is based on the shallow-water equations coupled with the Exner equation closed by the Grass model to describe the time evolution of the bed profile. The SRNH predictor-corrector scheme and a modified Roe scheme for non-conservative systems of equations are considered for space discretization. Second-order accuracy in space is achieved through variable reconstruction. These schemes were previously used in the simulation of the considered problems together with explicit time advancing. Linearized implicit time-advancing versions are generated here, in which the flux Jacobians are computed through automatic differentiation. Second-order accuracy in time is obtained through a backward differentiation formula associated with a defect-correction approach. For both the considered numerical methods, the explicit and implicit versions are compared in terms of accuracy and efficiency for one-dimensional and two-dimensional morphodynamic problems characterized by different time scales for the evolution of the bed and of the water flow. © 2013 IMACS. Published by Elsevier B.V. All rights reserved.","2014","2024-11-21 21:06:47","2024-11-21 21:06:47","","153 – 169","","","99","","","","","","","","","","English","","","","","","","Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YX7JYRRW","journalArticle","2015","Liu, Xin; Infante Sedano, Julio Ángel; Mohammadian, Abdolmajid","A coupled two-dimensional numerical model for rapidly varying flow, sediment transport and bed morphology","Journal of Hydraulic Research","","00221686","10.1080/00221686.2015.1085919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945161951&doi=10.1080%2f00221686.2015.1085919&partnerID=40&md5=ab9ef7953fb21ba153d4df949f6480d3","This paper presents a coupled two-dimensional model that can produce a more stable numerical simulation of rapid bed evolution than the conventional decoupled model. To solve the coupled bed-load sediment transport terms using a Godunov-type central-upwind method, a novel scheme to estimate the bed-load fluxes which can produce more accurate results than the previously reported coupled model is proposed using a pair of local wave speeds different from those used for the flow. The two-dimensional shallow water equations are used to solve the flow velocities and water depth. The bed level is solved by an Exner-based equation containing bed-load sediment transport as numerical flux terms and sediment entrainment and deposition as source terms. Analytical formulas to compute the eigenvalues of the Jacobian matrix are developed. The linear reconstruction of variables with a multi-dimensional slope limiter, and the second-order Runge-Kutta scheme are employed to achieve higher accuracy in space and time. For the case of rapid bed-erosion, the accuracy and stability of the proposed coupled model are verified by several numerical tests. © 2015 International Association for Hydro-Environment Engineering and Research.","2015","2024-11-21 21:06:47","2024-11-21 21:06:47","","609 – 621","","5","53","","","","","","","","","","English","","","","","","","Publisher: Taylor and Francis Ltd. Type: Article","","","","Bed-load transport; bedform; bedload; Coupled modeling; Direct numerical simulation; eigenvalue; Eigenvalues and eigenfunctions; entrainment; Equations of motion; finite volume method; Finite volume method; Jacobian matrices; Linear reconstruction; Numerical methods; numerical model; Numerical models; Runge Kutta methods; Sediment entrainments; sediment transport; Sediment transport; Sedimentation; Shallow flow; shallow water; Two dimensional model; Two dimensional numerical models; two-dimensional modeling; Two-dimensional shallow water equations; water depth; wave velocity; wind erosion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4X5HZ97T","conferencePaper","2012","Guillard, Hervé; Bilanceri, Marco; Cinat, Paolo; Beux, François; Elmahi, Imad; Salvetti, Maria Vittoria","Implicit time advancing applied to shallow water problems coupled with different models of sediment transport","ECCOMAS 2012 - European Congress on Computational Methods in Applied Sciences and Engineering, e-Book Full Papers","978-3-9503537-0-9","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871635490&partnerID=40&md5=0bc9e30ef354f9c45f77eeb8a448b334","The numerical simulation of sediment transport problems is considered. The physical problem is modeled through the shallow-water equations coupled with the Exner equation to describe the time evolution of the bed profile. Different models of solid transport discharge of increasing complexity are considered. The spatial discretisation of the governing equations is carried out by a finite-volume method and a modified Roe scheme designed for non-conservative systems. Linearized implicit schemes for time advancing are built through a recently proposed strategy, based on automatic differentiation to compute the flux Jacobians and on the defect correction approach to reach second-order accuracy. Explicit schemes for time advancing are compared with implicit ones in one-dimensional sediment transport problems, characterized by different time scales for the evolution of the bed. It is shown that, independently of the model used for the solid transport discharge, for slow and intermediate speeds of interaction bewteen the bedload and the water flow, for which the use of large time steps is compatible with the capture of the bed evolution, implicit time advancing is far more efficient than explicit one with a computational cost reduction up to more than three orders of magnitude.","2012","2024-11-21 21:06:48","2024-11-21 21:06:48","","3736 – 3751","","","","","","","","","","","","","English","","","","","","","Type: Conference paper","","","","Automatic differentiations; Bed evolutions; Bed load; Computational costs; Computational methods; Defect correction; Different time scale; Discretisation; Electronic publishing; Equations of motion; Explicit scheme; Finite volume method; Governing equations; Implicit schemes; Implicit time advancing; Jacobians; Non conservative systems; Roe scheme; Second-order accuracy; Sediment transport; Sedimentation; Shallow water equations; Shallow waters; Solid transport; Three orders of magnitude; Time evolutions; Time step; Water flows","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZU3Y2GTK","journalArticle","2021","Martínez-Aranda, S.; Murillo, J.; García-Navarro, P.","Comparison of new efficient 2D models for the simulation of bedload transport using the augmented Roe approach","Advances in Water Resources","","03091708","10.1016/j.advwatres.2021.103931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106286486&doi=10.1016%2fj.advwatres.2021.103931&partnerID=40&md5=a001dae78dbb418fba8a0f4149260d7b","The bedload transport system of equations, composed by the two-dimensional shallow water equations for the free surface flow motion and the 2D Exner or bedload transport equation for the erodible bed layer, is used for a wide range of sediment transport processes in environmental surface flows. In this work, the numerical resolution has been implemented using improved and efficient versions of two different strategies for combining the hydrodynamical and morphodynamical components of the system. The first strategy is based on the full coupling of the flow and bedload transport equations (FCM), leading to a new formulation for the intercell numerical fluxes which includes the bed elevation into the resolution of the approximated local Riemann problem (RP) at the edges. The stability region of this method is controlled by the eigenvalues of the coupled Jacobian matrix at each intercell edge. On the second hand, an alternative decoupled strategy is considered based on solving independently the shallow water and the bed transport equations at each time step but controlling the stability region by means of an approximation of the coupled Jacobian matrix eigenvalues. This method, called approximate-coupled (ACM) allows simpler expressions for the numerical fluxes at the edges and ensures the stability of the scheme. Both strategies are based on the Finite Volume (FV) method using Roe's approach for the computation of the numerical fluxes between neighbouring cells and have been implemented into the same CPU-based numerical kernel in order to perform a realistic comparison of the range of applicability and computational efficiency. The ACM can only guarantee non-oscillatory results when the bed-flow interaction factor is small G≤O(10−3). If the interaction factor G is medium or high, G>O(10−2), the decoupled scheme loses its accuracy and robustness. Furthermore, for highly erosive flows the FCM scheme demonstrates to be more efficient in terms of computational effort than the ACM, one of the key points for large-scale and long-term bedload transport realistic applications. © 2021 The Author(s)","2021","2024-11-21 21:06:48","2024-11-21 21:06:48","","","","","153","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ltd Type: Article","","","","Augmented roe scheme; Bed-load transport; bedload; Bedload transport model; comparative study; Computational efficiency; Efficiency; Efficiency and robustness; efficiency measurement; Eigenvalues and eigenfunctions; Equations of motion; erodibility; finite volume method; Hydro-morphodynamical coupled equation; hydrodynamics; Intercell; Jacobian matrices; Jacobians; morphodynamics; Numerical flux; Numerical methods; sediment transport; Sediment transport; shallow-water equation; Stability regions; Transport equation; two-dimensional modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNTRX4QE","conferencePaper","2014","Ramsamy, P.; Poullet, P.; Ricchiuto, M.","An accurate and efficient wave propagation finite-volume solver to simulate a sediment transport phenomenon","Proceedings - 2014 International Conference on Electromagnetics in Advanced Applications, ICEAA 2014","978-1-4673-5710-4","","10.1109/ICEAA.2014.6903961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908565738&doi=10.1109%2fICEAA.2014.6903961&partnerID=40&md5=30ee01a0d5f68669aa9881277ed20cae","The main objective of this paper is to provide efficient and accurate sediment transport models and especially the bedload sediment tranport due to water evolution. The model is obtained by coupling the hydrodynamical component and the morphodynamical one. As our goal is to study coastal media, we chose the ShallowWater equations for the first component. For the other component the choice of the Exner law has been made using a function of the solid transport discharge, the Grass model. The coupled system of non linear partial differential equations is rewritten as a non-conservative hyperbolic system with source term that is solved by finite volume methods with flux limiters. Some numerical tests confirm the second-order of our numerical scheme. © 2014 IEEE.","2014","2024-11-21 21:06:48","2024-11-21 21:06:48","","769 – 771","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","","","Type: Conference paper","","","","Bedload sediments; Finite volume method; Non-conservative hyperbolic systems; Nonlinear partial differential equations; Numerical scheme; Numerical tests; Sediment transport; Sediment transport model; Sedimentation; Shallow water equations; Transport phenomena; Wave propagation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS22ZRLQ","journalArticle","2020","Rowan, Thomas; Seaid, Mohammed","Two-dimensional numerical modelling of shallow water flows over multilayer movable beds","Applied Mathematical Modelling","","0307904X","10.1016/j.apm.2020.06.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088135950&doi=10.1016%2fj.apm.2020.06.052&partnerID=40&md5=b3cb32181ef523ba52b7780c728bdf5b","The two-dimensional modelling of shallow water flows over multi-sediment erodible beds is presented. A novel approach is developed for the treatment of multiple sediment types in morphodynamics. The governing equations include the two-dimensional shallow water equations for hydrodynamics, an Exner-type equation for morphodynamics, a two-dimensional transport equation for the suspended sediments, and a set of empirical equations for entrainment and deposition. Multilayer sedimentary beds are formed of different erodible soils with sediment properties and new exchange conditions between the bed layers are developed for the model. The coupled equations yield a hyperbolic system of balance laws with source terms. As a numerical solver for the system, we implement a fast finite volume characteristics method. The numerical fluxes are reconstructed using the method of characteristics which employs projection techniques. The proposed finite volume solver is simple to implement, satisfies the conservation property and can be used for two-dimensional sediment transport problems in non-homogeneous isotropic beds without need of complicated three-dimensional equations. To assess the performance of the proposed models, we present numerical results for a wide variety of shallow water flows over sedimentary layers. Comparisons to experimental data for dam-break problems over movable beds are also included in this study. © 2020 Elsevier Inc.","2020","2024-11-21 21:06:48","2024-11-21 21:06:48","","474 – 497","","","88","","","","","","","","","","English","","","","","","","Publisher: Elsevier Inc. Type: Article","","","","Characteristics method; Conservation properties; Equations of motion; Flow of water; Hydraulics; Method of characteristics; Multilayers; Numerical methods; Projection techniques; Sediment transport; Sedimentology; Suspended sediments; Three-dimensional equations; Two-dimensional modelling; Two-dimensional shallow water equations; Two-dimensional transport equation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWSBAG3E","journalArticle","2019","Martínez-Aranda, S.; Murillo, J.; García-Navarro, P.","A 1D numerical model for the simulation of unsteady and highly erosive flows in rivers","Computers and Fluids","","00457930","10.1016/j.compfluid.2019.01.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060162494&doi=10.1016%2fj.compfluid.2019.01.011&partnerID=40&md5=9fdc34cf388aed2164a8b380916fb525","This work is focused on a numerical finite volume scheme for the coupled shallow water-Exner system in 1D applications with arbitrary geometry. The mathematical expressions modeling the hydrodynamic and morphodynamic components of the physical phenomenon are treated to deal with cross-section shape variations and empirical solid discharge estimations. The resulting coupled equations can be rewritten as a non-conservative hyperbolic system with three moving waves and one stationary wave to account for the source terms discretization. Moreover, the wave celerities for the coupled morpho-hydrodyamical system depend on the erosion-deposition mechanism selected to update the channel cross-section profile. This influence is incorporated into the system solution by means of a new parameter related to the channel bottom variation celerity. Special interest is put to show that, even for the simplest solid transport models as the Grass law, to find a linearized Jacobian matrix of the system can be a challenge in presence of arbitrary shape channels. In this paper a numerical finite volume scheme is proposed, based on an augmented Roe solver, first order accurate in time and space, dealing with solid transport flux variations caused by the channel geometry changes. Channel cross-section variations lead to the appearance of a new solid flux source term which should be discretized properly. The stability region is controlled by wave celerities together with a proper reconstruction of the approximate local Riemann problem solution, enforcing positive values for the intermediate states of the conserved variables. Comparison of the numerical results for several analytical and experimental cases demonstrates the effectiveness, exact well-balancedness and accuracy of the scheme. © 2019 Elsevier Ltd","2019","2024-11-21 21:06:48","2024-11-21 21:06:48","","8 – 34","","","181","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ltd Type: Article","","","","Cladding (coating); Coupled method; Equations of motion; Exner equation; Finite volume method; Geometry; Jacobian matrices; Roe's scheme; Shallow water equations; Variable geometry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R49XJIC7","journalArticle","2015","Mirabito, Chris; Dawson, Clint; Aizinger, Vadym","An a priori error estimate for the local discontinuous Galerkin method applied to two-dimensional shallow water and morphodynamic flow","Numerical Methods for Partial Differential Equations","","0749159X","10.1002/num.21914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988231302&doi=10.1002%2fnum.21914&partnerID=40&md5=3e572d7e607cb6394c1ef8d8f76a605d","The application of discontinuous Galerkin (DG) methods to the numerical solution of the two- and three-dimensional shallow water equations has seen increased interest over the past decade. In this article, previous work by the second author and several collaborators on the application and analysis of the DG method is extended to coupled shallow water/bed morphology dynamics, also called morphodynamics. Morphodynamic boundary value problems are used to simultaneously model shallow water hydrodynamics and sediment transport processes in estuarine and coastal systems. The governing equations of interest arise when the two-dimensional Saint-Venant equations are tightly coupled to the corresponding Exner equation. The tight coupling of these two processes presents numerous modeling and analytical challenges. The resulting nonlinear system is incompletely parabolic, and contains a nonconservative product. In this work, some of these analytical challenges are tackled by applying a local discontinuous Galerkin method to the morphodynamic system; the quantities of interest and their gradients are solved separately. A general, semidiscrete finite element formulation is presented, and after justifying some mild assumptions, a new a priori error estimate for the system is derived. © 2014 Wiley Periodicals, Inc.","2015","2024-11-21 21:06:48","2024-11-21 21:06:48","","397 – 421","","2","31","","","","","","","","","","English","","","","","","","Publisher: John Wiley and Sons Inc. Type: Article","","","","A-priori estimates; Bed morphology; Boundary value problems; Computational mechanics; Conservation law; Equations of motion; Finite element method; Galerkin methods; Local discontinuous Galerkin; Morphology; Nonlinear equations; Numerical methods; Sediment transport; Sedimentation; Shallow water equations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
