"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VKTD923H","journalArticle","2022","Siviglia, A.; Vanzo, D.; Toro, E.F.","A splitting scheme for the coupled Saint-Venant-Exner model","Advances in Water Resources","","0309-1708","10.1016/j.advwatres.2021.104062","","We present a splitting method for the one-dimensional Saint-Venant-Exner equations, which describe bed evolution in shallow water systems. Our approach adapts the flux vector splitting method proposed by Toro and Vázquez-Cendón (2012) and separates the system into two subsystems: a conservative advection system and a non-conservative pressure system, both characterized by simpler eigenstructures compared to the full system. The numerical scheme combines a Godunov-type path-conservative method for the pressure system with a conservative Godunov method for the advection system, solved using a coupled solution strategy. To achieve second-order accuracy in space and time, the first-order method is enhanced via the ADER approach and an AENO reconstruction technique. The scheme's accuracy, robustness, and well-balanced properties are evaluated using a carefully chosen set of test cases, demonstrating its simplicity and effectiveness, comparable to advanced Godunov methods. A key feature of the proposed scheme is its flexibility in selecting sediment transport closure formulas, making it highly suitable for scientific and engineering applications.","2022-01","2024-09-25 15:14:12","2024-12-01 00:43:24","","104062","","","159","","","","","","","","","","","","","","","","","Publisher: Elsevier BV","","C:\Users\johan\Zotero\storage\Y8XKV7FW\Siviglia et al. - 2022 - A splitting scheme for the coupled Saint-Venant-Exner model.pdf","","Sediment transport; Numerical morphodynamics; ADER Method; Finite volume methods; Flux splitting; Saint-Venant-Exner model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8SAEU6M","journalArticle","2017","Caviedes-Voullième, Daniel \bf; Morales-Herández, Mario; Juez, Carmelo; Lacasta, Asier; García-Navarro, Pilar","Two-Dimensional Numerical Simulation of Bed-Load Transport of a Finite-Depth Sediment Layer: Applications to Channel Flushing","Journal of Hydraulic Engineering","","","https://doi.org/10.1061/(ASCE)HY.1943-7900.0001337","http://ascelibrary.org/doi/abs/10.1061/%28ASCE%29HY.1943-7900.0001337","Numerical modeling of bed-load transport in shallow flows, particularly oriented toward environmental flows, is an active field of research. Nevertheless, other possible applications exist. In particular, bed-load transport phenomena are relevant in urban drainage systems, including sewers. However, few applications of coupled two-dimensional (2D) shallow-water and bed-load transport models can be found, and their transfer from environmental applications?usually river and floodplain?into sewer applications requires some adaptation. Unlike to river systems, where there is a thick layer of sediment that constitutes a movable riverbed, sewer systems have thin layers of sediment that need to be removed, thus exposing a rigid, nonerodible surface. This problem requires careful numerical treatment to avoid generating errors and instability in the simulation. This paper deals with a numerical approach to tackle this issue in an efficient way that allows large-scale studies to be performed and provides empirical evidence that the proposed approach is accurate and applicable for sewage and channel-flushing problems.","2017","2024-09-25 15:14:13","2024-12-01 00:02:33","","","","9","143","","","","","","","","","","","","","","","","","_eprint: http://ascelibrary.org/doi/pdf/10.1061/%28ASCE%29HY.1943-7900.0001337","","C:\Users\johan\Zotero\storage\GPYCYZYL\Caviedes-Voullième et al. - 2017 - Two-Dimensional Numerical Simulation of Bed-Load Transport of a Finite-Depth Sediment Layer Applica.pdf","","Exner equation; Shallow water; Channel flushing; Finite-depth sediment layer; Graphics-processing unit (GPU) computing; Maximum erodability; Partially erodible bed; Thin sediment layer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDSNP8GZ","journalArticle","2011","Soares-Frazao, Sandra; Zech, Yves","HLLC scheme with novel wave-speed estimators appropriate for two-dimensional shallow-water flow on erodible bed","INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS","","0271-2091","10.1002/fld.2300","","This paper presents a first-order HLLC (Harten-Lax-Van Leer with contact discontinuities) scheme to solve the Saint-Venant shallow-water equations, including morphological evolution of the bed by erosion and deposition of sediments. The Exner equation is used to model the morphological evolution of the bed, while a closure equation is needed to evaluate the rate of sediment transport. The system of Saint-Venant-Exner equations is solved in a fully coupled way using a finite-volume technique and a HLLC solver for the fluxes, with a novel wave-speed estimator adapted to the Exner equation. Wave speeds are usually derived by computing the eigenvalues of the full system, which is highly time-consuming when no analytical expression is available. In this paper, an eigenvalue analysis of the full system is conducted, leading to simple but still accurate wave-speed estimators. The new numerical scheme is then tested in three different situations: (1) a circular dam-break flow over movable bed, (2) an one-dimensional bed aggradation problem simulated on a 2D unstructured mesh and (3) the case of a dam-break flow in an erodible channel with a sudden enlargement, for which experimental measurements are available. Copyright (C) 2010 John Wiley & Sons, Ltd.","2011-07-20","2024-11-20 00:35:49","2024-12-01 00:35:54","","1019-1036","","8","66","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","C:\Users\johan\Zotero\storage\SSKZHQTP\Soares-Frazao and Zech - 2011 - HLLC scheme with novel wave-speed estimators appropriate for two-dimensional shallow-water flow on e.pdf","","dam-break flow; finite-volume; HLLC; morphological flows; shallow-water; wave-speed estimator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FKXLA3C","journalArticle","2009","Abderrezzak, Kamal El kadi; Paquier, Andre","One-dimensional numerical modeling of sediment transport and bed deformation in open channels","WATER RESOURCES RESEARCH","","0043-1397","10.1029/2008WR007134","","A one-dimensional numerical model for simulating unsteady flow and sediment transport in open channels is presented and tested. The flow hydrodynamics is represented by the shallow water equations, and the bed morphodynamics is represented by the Exner equation and an additional equation describing the nonequilibrium sediment transport. Sediment size distribution is represented by the median grain diameter and the standard deviation, instead of the usual modeling with multiple particle size classes. Various methods for computing bed elevation changes at a cross section due to erosion or deposition of sediment are proposed and tested, including an innovative approach that relates the spatial pattern of erosion and deposition rates to boundary shear stress distribution, which is calculated by the Merged Perpendicular Method. An explicit finite difference scheme is employed for solving the water and sediment governing equations. The pertinence of the model is examined for two hypothetical cases. The model is then tested on one set of laboratory experiments on bed degradation under steady flow, showing excellent model data fit, and indicating that incorporating a nonequilibrium sediment transport equation into the model structure is an important element in reproducing the bed degradation process. Finally, the model is applied to simulate the morphological changes taking place in the Ha! Ha! River (Quebec) after the failure of the Ha! Ha! Dyke on July 1996. Relevant results can be obtained in terms of changes in longitudinal bed profile and cross-sectional geometry as well as water levels, although some discrepancies are obtained between the simulated and surveyed cross-sectional geometries, mainly because bank failure and channel widening are not modeled.","2009-05-07","2024-11-20 00:35:49","2024-12-01 00:02:27","","","","","45","","","","","","","","","","English","","","","","","","Place: 2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA Publisher: AMER GEOPHYSICAL UNION Type: Article","","C:\Users\johan\Zotero\storage\TRMUSQZB\Abderrezzak and Paquier - 2009 - One-dimensional numerical modeling of sediment transport and bed deformation in open channels.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIDX5BAT","journalArticle","2013","Siviglia, Annunziato; Stecca, Guglielmo; Vanzo, Davide; Zolezzi, Guido; Toro, Eleuterio F.; Tubino, Marco","Numerical modelling of two-dimensional morphodynamics with applications to river bars and bifurcations","ADVANCES IN WATER RESOURCES","","0309-1708","10.1016/j.advwatres.2012.11.010","","We study the numerical approximation of the two-dimensional morphodynamic model governed by the shallow water and Exner equations to simulate reach-scale two-dimensional morphodynamics of bedload-dominated alluvial rivers. The solution strategy relies on a full coupling of the governing equations within each time step. The resulting system of governing equations contains nonconservative products related to the longitudinal and lateral bed slopes and source terms related to friction. The full problem is solved numerically on unstructured triangular grids, simultaneously updating the principal part and adding the source terms (friction) using a splitting technique. The principal part is solved by means of a novel second-order accurate upwind-biased centred scheme of the finite volume type, while the source terms are added to the problem by solving a system of ordinary differential equations. A new algorithm for treating the wetting-and-drying is also proposed. The model is applied to well-established test problems in order to verify the accuracy of the proposed method, the robustness of the wetting-and-drying algorithm and the ability of the model in dealing with transcritical flows. Finally we test the model ability to reproduce two dimensional morphodynamic processes occurring at the scale of tens of channel widths in bedload dominated alluvial rivers with homogeneous grain size. This is achieved by comparing model outcomes with those of analytical theories and flume experiments on the same morphodynamic processes. These selected “benchmarks” include migrating free bars spontaneously developing in straight reaches, steady bars forced by abrupt river planform changes and the dynamics of channel bifurcations. (C) 2012 Elsevier Ltd. All rights reserved.","2013-02","2024-11-20 00:35:49","2024-12-01 00:02:24","","243-260","","","52","","","","","","","","","","English","","","","","","","Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article","","C:\Users\johan\Zotero\storage\J9838S9V\Siviglia et al. - 2013 - Numerical modelling of two-dimensional morphodynamics with applications to river bars and bifurcatio.pdf","","Sediment transport; Centred schemes; Non-conservative hyperbolic systems; Numerical morphodynamics; River bars; Unstructured mesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9WHZA8L","journalArticle","2012","Postacchini, Matteo; Brocchini, Maurizio; Mancinelli, Alessandro; Landon, Marc","A multi-purpose, intra-wave, shallow water hydro-morphodynamic solver","ADVANCES IN WATER RESOURCES","","0309-1708","10.1016/j.advwatres.2011.12.003","","A hydro-morphodynamic numerical model is illustrated as a novel contribution to the investigation and prediction of nearshore and riverine flows and seabed changes forced by waves and currents. The model includes a robust hydrodynamic solver for the integration of the nonlinear shallow water equations (NSWE) and a rather flexible solver for the resolution of the Exner equation (used to evaluate the morphological evolution of the seabed). A detailed analysis is given of existing and novel procedures for the solution of the morphodynamic problem. Coupling of NSWE and Exner equations and updating of the solution is made by means of a sequential splitting scheme. The model has been validated by reproducing both analytical and numerical solutions, available in the recent literature, as well as an in-house laboratory experiment. The simulation of existing theoretical solutions has revealed the model performs well, especially in the prediction of the seabed evolution due to either bed-load or suspended-load transport forced by dam-break and swash-type events. The latter ones are seen to force both erosion and accretion despite the weak hydro-morphodynamic coupling. The comparison between solver results and experimental data is also encouraging, the solver reproducing well the main seabed features forced by irregular waves. (C) 2011 Elsevier Ltd. All rights reserved.","2012-03","2024-11-20 00:35:49","2024-12-01 00:01:58","","13-26","","","38","","","","","","","","","","English","","","","","","","Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article","","C:\Users\johan\Zotero\storage\QHX6T4BI\Postacchini et al. - 2012 - A multi-purpose, intra-wave, shallow water hydro-morphodynamic solver.pdf","","Sediment transport; Hydro-morphodynamic solver; Nearshore flows; NSWE; Riverine flows; Weakly-coupled model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTG4D3AS","journalArticle","2012","Volz, Christian; Rousselot, Patric; Vetsch, David; Faeh, Roland","Numerical modelling of non-cohesive embankment breach with the dual-mesh approach","JOURNAL OF HYDRAULIC RESEARCH","","0022-1686","10.1080/00221686.2012.732970","","The numerical model BASEMENT, based on the two-dimensional shallow-water equations, is applied to breaching processes of non-cohesive earth embankments due to overtopping. The governing equations are solved using an explicit finite-volume method combined with a Godunov-type approach. For spatial discretization, a mass-conserving dual-mesh approach with separate, unstructured meshes for hydrodynamic and sediment computations is developed allowing for accurate terrain representation. The surface erosion is modelled with the Exner and sorting equations for multiple grain classes in combination with empirical bed-load transport formulas and advection-diffusion equations for suspended-load transport. Additionally, the lateral breach widening caused by gravitationally-induced slope failures is considered using a novel algorithm adapted for unstructured grids. The model is successfully applied to two recent laboratory experiments including plane and spatial dike breaches, and a field-scale embankment breach. Detailed comparisons between measured and simulated laboratory spatial breach formations confirm the basic model assumptions.","2012","2024-11-20 00:35:49","2024-12-01 00:02:22","","587-598","","6","50","","","","","","","","","","English","","","","","","","Place: 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND Publisher: TAYLOR & FRANCIS LTD Type: Article","","C:\Users\johan\Zotero\storage\VPG6PIZE\Volz et al. - 2012 - Numerical modelling of non-cohesive embankment breach with the dual-mesh approach.pdf","","Dual-mesh; embankment breach; overtopping; sediment transport; shallow-water equation; slope failure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WH6CSJKT","journalArticle","2011","Abderrezzak, Kamal El Kadi; Paquier, Andre","Applicability of Sediment Transport Capacity Formulas to Dam-Break Flows over Movable Beds","JOURNAL OF HYDRAULIC ENGINEERING","","0733-9429","10.1061/(ASCE)HY.1943-7900.0000298","","In this paper, we investigate the extent to which well-known sediment transport capacity formulas can be used in one-dimensional (1D) numerical modeling of dam-break waves over movable beds. The 1D model considered here is a one-layer model based on the shallow-water equations, a bed update (Exner) equation, a space-lag equation for the nonequilibrium sediment transport and an empirical formula calculating the sediment transport capacity of the flow. The model incorporates a variety of sediment transport capacity formulas proposed by Meyer-Peter and Muller, Bagnold, Engelund and Hansen, Ackers and White, Smart and Jaeggi, van Rijn, Rickenmann, Cheng, Abrahams and Camenen, and Larson. We examine the performance of each formula by simulating four idealized laboratory cases on dam-break waves over sandy beds. Comparisons between numerical results and measurements show that for each case better predictions are obtained using a particular formula, but overall, formulas proposed by Meyer-Peter and Muller (with the factor 8 being replaced by 12), Smart and Jaggi, Cheng, Abrahams and Camenen, and Larson rank as the best predictors for the entire range of conditions studied here. Moreover, results show that in the cases where a bed step exists, implementing a mass failure mechanism in the numerical modeling plays an important role in reproducing the bed and water profiles.","2011-02","2024-11-20 00:35:49","2024-12-01 00:02:04","","209-221","","2","137","","","","","","","","","","English","","","","","","","Place: 1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA Publisher: ASCE-AMER SOC CIVIL ENGINEERS Type: Article","","C:\Users\johan\Zotero\storage\CPTBSZT4\Abderrezzak and Paquier - 2011 - Applicability of Sediment Transport Capacity Formulas to Dam-Break Flows over Movable Beds.pdf","","Dam break; Laboratory data; One-dimensional (1D) numerical model; Sediment transport capacity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WA2FGYJU","journalArticle","2015","Bohorquez, Patricio; Ancey, Christophe","Stochastic-deterministic modeling of bed load transport in shallow water flow over erodible slope: Linear stability analysis and numerical simulation","ADVANCES IN WATER RESOURCES","","0309-1708","10.1016/j.advwatres.2015.05.016","","In this article we propose a stochastic bed load transport formulation within the framework of the frictional shallow water equations in which the sediment transport rate results from the difference between the entrainment and deposition of particles. First we show that the Saint-Venant-Exner equations are linearly unstable in most cases for a uniform base flow down an inclined erodible bed for Shields numbers in excess of the threshold for incipient sediment motion allowing us to compute noise-induced pattern formation for Froude numbers below 2. The wavelength of the bed forms are selected naturally due to the absolute character of the bed instability and the existence of a maximum growth rate at a finite wavelength when the particle diffusivity coefficient and the water eddy viscosity are present as for Turing-like instability. A num e rical method is subsequently developed to analyze the performance of the model and theoretical results through three examples: the simulation of the fluctuations of the particle concentration using a stochastic Langevin equation, the deterministic simulation of anti-dunes formation over an erodible slope in full sediment-mobility conditions, and the computation of noise-induced pattern formation in hybrid stochasticdeterministic flows down a periodic flume. The full non-linear numerical simulations are in excellent agreement with the theoretical solutions. We conclude highlighting that the proposed depth-averaged formulation explains the developments of upstream migrating anti-dunes in straight flumes since the seminar experiments by Gilbert (1914). (C) 2015 Elsevier Ltd. All rights reserved.","2015-09","2024-11-20 00:35:49","2024-12-01 00:02:32","","36-54","","","83","","","","","","","","","","English","","","","","","","Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article","","C:\Users\johan\Zotero\storage\5S3L6N3V\Bohorquez and Ancey - 2015 - Stochastic-deterministic modeling of bed load transport in shallow water flow over erodible slope L.pdf","","Anti-dtmes; ClawPack/SharpClaw; Hydrodynamic stability; Saint-Venant-Exner; Stochastic bed load transport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9GY8GMM","journalArticle","2010","Kelly, David Matthew; Dodd, Nick","Beach-face evolution in the swash zone","JOURNAL OF FLUID MECHANICS","","0022-1120","10.1017/S0022112010002983","","We investigate swash on an erodible beach using the one-dimensional shallow-water equations fully coupled to a bed-evolution (Exner) equation. In particular, the dam-break/bore-collapse initial condition of Shen & Meyer (J. Fluid Mech., vol. 16, 1963, pp. 113-125) and Peregrine & Williams (J. Fluid Mech., vol. 440, 2001, pp. 391-399) is investigated using a numerical model based on the method of characteristics. A sediment-transport formula (cubic in velocity u: Au-3) is used here; this belongs to a family of sediment-transport formulae for which Pritchard & Hogg (Coastal Engng, vol. 52, 2005, pp. 1-23) showed that net sediment transport under the Shen & Meyer (1963) bore collapse is offshore throughout the swash zone when a non-erodible bed is considered. It is found that full coupling with the beach, although still resulting in the net offshore transport of sediment throughout the swash zone, leads to a large reduction in the net offshore transport of sediment from the beach face. This is particularly true for the upper third of the swash zone. Moreover, in contradistinction to swash flows over non-erodible beds, flows over erodible beaches are unique to the bed mobility and porosity under consideration; this has very important implications for run-up predictions. The conclusion is that it is essential to consider full coupling of water and bed motions (i.e. full morphodynamics) in order to understand and predict sediment transport in the swash, regardless of other physical effects (e.g. turbulence, infiltration, pre-suspended sediment, etc.).","2010-10-25","2024-11-20 00:35:49","2024-12-01 00:02:06","","316-340","","","661","","","","","","","","","","English","","","","","","","Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article","","C:\Users\johan\Zotero\storage\P9GCXTKN\Kelly and Dodd - 2010 - Beach-face evolution in the swash zone.pdf","","sediment transport; coastal engineering; shallow-water flows","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
